"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Bronx","2","LCL/LTD","BX24","Peak","340","394","86.29442%"
"2020-01-01","Bronx","1","LCL/LTD","BX26","Off-Peak","10,758","13,371","80.457705%"
"2020-01-01","Bronx","1","LCL/LTD","BX26","Peak","5,797","7,981","72.635007%"
"2020-01-01","Bronx","2","LCL/LTD","BX26","Off-Peak","3,702","4,378","84.55916%"
"2020-01-01","Bronx","2","LCL/LTD","BX26","Peak","1,639","2,042","80.26445%"
"2020-01-01","Bronx","1","LCL/LTD","BX27","Off-Peak","10,220","12,287","83.17734%"
"2020-01-01","Bronx","1","LCL/LTD","BX27","Peak","5,797","8,386","69.12712%"
"2020-01-01","Bronx","2","LCL/LTD","BX27","Off-Peak","3,877","4,540","85.396475%"
"2020-01-01","Bronx","2","LCL/LTD","BX27","Peak","1,745","2,127","82.040435%"
"2020-01-01","Bronx","1","LCL/LTD","BX28","Off-Peak","9,738","12,281","79.293215%"
"2020-01-01","Bronx","1","LCL/LTD","BX28","Peak","3,144","4,827","65.133625%"
"2020-01-01","Bronx","2","LCL/LTD","BX28","Off-Peak","3,742","4,787","78.170043%"
"2020-01-01","Bronx","2","LCL/LTD","BX28","Peak","1,395","1,697","82.20389%"
"2020-01-01","Bronx","1","LCL/LTD","BX29","Off-Peak","2,347","2,784","84.30316%"
"2020-01-01","Bronx","1","LCL/LTD","BX29","Peak","1,228","1,533","80.10437%"
"2020-01-01","Bronx","2","LCL/LTD","BX29","Off-Peak","1,205","1,342","89.79136%"
"2020-01-01","Bronx","2","LCL/LTD","BX29","Peak","437","474","92.19409%"
"2020-01-01","Bronx","1","LCL/LTD","BX3","Off-Peak","11,504","15,931","72.211415%"
"2020-01-01","Bronx","1","LCL/LTD","BX3","Peak","4,414","7,156","61.682504%"
"2020-01-01","Bronx","2","LCL/LTD","BX3","Off-Peak","5,274","6,658","79.212976%"
"2020-01-01","Bronx","2","LCL/LTD","BX3","Peak","2,010","2,717","73.97865%"
"2020-01-01","Bronx","1","LCL/LTD","BX30","Off-Peak","10,136","14,176","71.50113%"
